match_id,home_team_name,home_score,away_team_name,away_score,match_date,stage,world_cup,match,final_score
1,Russia,5,Saudi Arabia,0,2018-06-14,Group Stage,Russia,Russia X Saudi Arabia,5 - 0
2,Egypt,0,Uruguay,1,2018-06-15,Group Stage,Russia,Egypt X Uruguay,0 - 1
3,Morocco,0,Iran,1,2018-06-15,Group Stage,Russia,Morocco X Iran,0 - 1
4,Portugal,3,Spain,3,2018-06-15,Group Stage,Russia,Portugal X Spain,3 - 3
5,Croatia,2,Nigeria,0,2018-06-16,Group Stage,Russia,Croatia X Nigeria,2 - 0
6,France,2,Australia,1,2018-06-16,Group Stage,Russia,France X Australia,2 - 1
7,Argentina,1,Iceland,1,2018-06-16,Group Stage,Russia,Argentina X Iceland,1 - 1
8,Peru,0,Denmark,1,2018-06-16,Group Stage,Russia,Peru X Denmark,0 - 1
9,Costa Rica,0,Serbia,1,2018-06-17,Group Stage,Russia,Costa Rica X Serbia,0 - 1
10,Brazil,1,Switzerland,1,2018-06-17,Group Stage,Russia,Brazil X Switzerland,1 - 1
11,Germany,0,Mexico,1,2018-06-17,Group Stage,Russia,Germany X Mexico,0 - 1
12,Sweden,1,South Korea,0,2018-06-18,Group Stage,Russia,Sweden X South Korea,1 - 0
13,Tunisia,1,England,2,2018-06-18,Group Stage,Russia,Tunisia X England,1 - 2
14,Belgium,3,Panama,0,2018-06-18,Group Stage,Russia,Belgium X Panama,3 - 0
15,Poland,1,Senegal,2,2018-06-19,Group Stage,Russia,Poland X Senegal,1 - 2
16,Russia,3,Egypt,1,2018-06-19,Group Stage,Russia,Russia X Egypt,3 - 1
17,Colombia,1,Japan,2,2018-06-19,Group Stage,Russia,Colombia X Japan,1 - 2
18,Portugal,1,Morocco,0,2018-06-20,Group Stage,Russia,Portugal X Morocco,1 - 0
19,Uruguay,1,Saudi Arabia,0,2018-06-20,Group Stage,Russia,Uruguay X Saudi Arabia,1 - 0
20,Iran,0,Spain,1,2018-06-20,Group Stage,Russia,Iran X Spain,0 - 1
21,Argentina,0,Croatia,3,2018-06-21,Group Stage,Russia,Argentina X Croatia,0 - 3
22,France,1,Peru,0,2018-06-21,Group Stage,Russia,France X Peru,1 - 0
23,Denmark,1,Australia,1,2018-06-21,Group Stage,Russia,Denmark X Australia,1 - 1
24,Brazil,2,Costa Rica,0,2018-06-22,Group Stage,Russia,Brazil X Costa Rica,2 - 0
25,Nigeria,2,Iceland,0,2018-06-22,Group Stage,Russia,Nigeria X Iceland,2 - 0
26,Serbia,1,Switzerland,2,2018-06-22,Group Stage,Russia,Serbia X Switzerland,1 - 2
27,Belgium,5,Tunisia,2,2018-06-23,Group Stage,Russia,Belgium X Tunisia,5 - 2
28,Germany,2,Sweden,1,2018-06-23,Group Stage,Russia,Germany X Sweden,2 - 1
29,South Korea,1,Mexico,2,2018-06-23,Group Stage,Russia,South Korea X Mexico,1 - 2
30,Japan,2,Senegal,2,2018-06-24,Group Stage,Russia,Japan X Senegal,2 - 2
31,Poland,0,Colombia,3,2018-06-24,Group Stage,Russia,Poland X Colombia,0 - 3
32,England,6,Panama,1,2018-06-24,Group Stage,Russia,England X Panama,6 - 1
33,Spain,2,Morocco,2,2018-06-25,Group Stage,Russia,Spain X Morocco,2 - 2
34,Iran,1,Portugal,1,2018-06-25,Group Stage,Russia,Iran X Portugal,1 - 1
35,Saudi Arabia,2,Egypt,1,2018-06-25,Group Stage,Russia,Saudi Arabia X Egypt,2 - 1
36,Uruguay,3,Russia,0,2018-06-25,Group Stage,Russia,Uruguay X Russia,3 - 0
37,Iceland,1,Croatia,2,2018-06-26,Group Stage,Russia,Iceland X Croatia,1 - 2
38,Denmark,0,France,0,2018-06-26,Group Stage,Russia,Denmark X France,0 - 0
39,Nigeria,1,Argentina,2,2018-06-26,Group Stage,Russia,Nigeria X Argentina,1 - 2
40,Australia,0,Peru,2,2018-06-26,Group Stage,Russia,Australia X Peru,0 - 2
41,Serbia,0,Brazil,2,2018-06-27,Group Stage,Russia,Serbia X Brazil,0 - 2
42,South Korea,2,Germany,0,2018-06-27,Group Stage,Russia,South Korea X Germany,2 - 0
43,Switzerland,2,Costa Rica,2,2018-06-27,Group Stage,Russia,Switzerland X Costa Rica,2 - 2
44,Mexico,0,Sweden,3,2018-06-27,Group Stage,Russia,Mexico X Sweden,0 - 3
45,Japan,0,Poland,1,2018-06-28,Group Stage,Russia,Japan X Poland,0 - 1
